Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
WFDC1,0.33078,0.721189,0.373683,0.225608,0.680186,2.297894,1.830748
SEC14L5,0.309132,0.51688,0.3716,0.480152,0.627255,0.794534,1.200815
COTL1,2.878187,2.762114,1.643933,3.873695,19.528965,21.28833,14.405797
USP10,7.986987,3.951779,2.171266,6.912189,10.589049,11.134797,12.650741
CRISPLD2,0.173138,1.716033,1.640681,1.189077,9.74787,5.190584,3.360657
TSC2,4.238349,9.217464,4.404467,6.78555,11.36929,10.843168,10.758226
ZNF500,0.624043,0.661902,0.633536,1.193246,1.254014,1.195521,1.367115
NME4,2.139476,2.529654,1.250538,3.926349,11.392485,8.539166,10.911574
ABCC1,0.548974,0.363171,0.816313,0.144018,2.446999,2.141107,3.104767
NOMO3,3.252574,2.603827,1.044074,6.465148,7.831716,2.471992,10.60133
LMF1,0.276806,0.439782,0.475056,0.471001,2.141861,0.673541,0.677679
FOXF1,0.029795,0.027782,0.163343,0.030431,0.142324,0.022034,0.111345
CIAO3,1.169763,1.249711,1.12945,2.503002,1.742052,1.530762,1.754182
MTHFSD,1.723325,0.679699,0.896205,1.510966,1.444127,2.18557,1.264303
CLCN7,2.002501,2.875131,1.455992,2.282016,7.859908,7.348917,8.481711
HAGHL,1.108514,0.997016,1.153261,1.755807,1.331177,1.759,2.537265
ANTKMT,3.296474,0.90336,0.880178,2.902024,6.946851,7.951821,7.33152
SLC7A5,0.518291,2.601281,1.01315,0.919014,3.740643,2.79694,4.26868
METRN,2.556877,2.417779,2.674068,3.085904,7.193244,8.106575,9.442426
FBXO31,4.175419,2.179439,1.344639,2.186764,8.012174,8.467149,6.900106
STUB1,6.105468,1.453491,1.022835,6.397593,7.023249,13.500242,9.826669
RHBDL1,0.44516,0.318043,0.21608,0.530595,0.733836,1.727515,0.947943
NUBP1,0.900573,0.276988,0.208986,0.586542,1.431624,1.200788,1.405532
UBE2I,1.909655,3.767394,0.984747,2.347945,6.081958,5.397475,7.348335
MEFV,0.045762,0.070682,0.16473,0.034872,0.336287,0.068937,0.027032
CRYM,0.582191,3.408336,16.189718,0.893167,6.348861,0.519261,25.478069
EEF2K,0.538054,0.684599,0.49389,0.728875,1.412877,1.674944,2.198372
CAPN15,0.403274,1.933201,0.378458,0.929986,1.177654,0.863147,1.113075
PIEZO1,0.442965,0.656385,0.681828,0.311816,2.519379,1.000308,2.162948
GSPT1,6.736602,4.470202,2.686683,5.881072,9.276906,8.051048,9.572156
ZNF174,2.045516,1.081614,0.753664,2.018382,2.419384,3.265393,3.31383
CLUAP1,5.111275,1.767762,1.689583,4.708077,5.874359,6.475333,6.184396
UBFD1,7.729492,4.803652,1.77329,7.652106,10.318886,12.482894,14.791
EARS2,2.99785,2.553553,0.90963,3.017645,3.728518,3.294306,4.649398
ELOB,18.950914,5.461131,2.742251,13.03633,36.914112,43.107937,44.165264
GGA2,3.473756,3.918696,1.489509,5.202878,7.635627,7.328248,8.48849
CPPED1,1.291693,0.592801,0.518366,1.145618,2.75537,2.058261,1.961506
USP31,5.525724,2.701364,1.029354,3.906631,4.854324,5.326506,4.053756
HMOX2,3.376393,1.302993,0.774724,2.005418,3.786121,4.540757,6.535352
DNAJA3,3.065012,1.256519,0.898362,2.784267,3.974998,4.488663,5.532033
CORO7-PAM16,0.699127,0.456385,0.213535,0.552261,1.61461,1.656634,1.768083
BFAR,2.243459,1.257494,0.892246,2.03023,4.348653,3.349673,3.884271
